Id,Label,Affil_Id,Affil_Name
57110438600,Eustaquio J.D.,60071491,University of the Philippines Diliman
35792589600,Mapa D.S.,60071491,University of the Philippines Diliman
57110387400,Mindanao M.C.,60071491,University of the Philippines Diliman
57110500100,Paz N.I.,60071491,University of the Philippines Diliman
57190009590,Estiaga C.,60071491,University of the Philippines Diliman
57110359300,Lucagbo M.D.C.,60071491,University of the Philippines Diliman
57190002501,De La Cruz L.S.,60071491,University of the Philippines Diliman
57190005717,Narvasa J.V.,60071491,University of the Philippines Diliman
57190006745,Paglicawan M.J.A.,60071491,University of the Philippines Diliman
57190009506,Pepito J.P.,60071491,University of the Philippines Diliman
57190010428,Aricheta V.M.,60071491,University of the Philippines Diliman
57190000139,Celeste R.,60071491,University of the Philippines Diliman
8061307200,Nemenzo F.,60071491,University of the Philippines Diliman
57190001990,Supranes M.B.,60071491,University of the Philippines Diliman
57190007901,Guntan J.F.J.,60071491,University of the Philippines Diliman
57190010779,Padua J.P.A.C.,60071491,University of the Philippines Diliman
24479301900,Lansangan J.R.G.,60071491,University of the Philippines Diliman
57190793357,Retumban K.A.M.,60071491,University of the Philippines Diliman
35315532000,Guilatco R.S.,60071491,University of the Philippines Diliman
57191953777,Albis M.L.F.,60071491,University of the Philippines Diliman
57191975929,Manalaysay K.C.M.,60071491,University of the Philippines Diliman
16175380800,Magadia J.C.,60071491,University of the Philippines Diliman
57192414026,Dimapilis J.A.,60071491,University of the Philippines Diliman
57192416570,Redondo V.T.,60071491,University of the Philippines Diliman
24172434400,Betty R.A.,60071491,University of the Philippines Diliman
57194551727,Esmenda M.J.,60071491,University of the Philippines Diliman
57194773130,Raguindin D.R.,60071491,University of the Philippines Diliman
57194779758,Abeto P.E.G.,60071491,University of the Philippines Diliman
57194765509,Rey M.P.,60071491,University of the Philippines Diliman
57194773014,Suan I.D.C.,60071491,University of the Philippines Diliman
48161215400,dela Cruz R.B.,60071491,University of the Philippines Diliman
57200203098,Mapa C.D.S.,60071491,University of the Philippines Diliman
57200200858,Paglinawan D.M.,60071491,University of the Philippines Diliman
57190285403,Santos K.C.P.,60071491,University of the Philippines Diliman
57192433307,Caalim J.,60071491,University of the Philippines Diliman
57202001039,Canlubo C.R.,60071491,University of the Philippines Diliman
57202335565,Sato R.,60071491,University of the Philippines Diliman
55070841700,Amarra C.,60071491,University of the Philippines Diliman
57188806398,Ona M.P.F.,60071491,University of the Philippines Diliman
57204954292,Benabaye I.,60071491,University of the Philippines Diliman
57204956455,Donato P.R.,60071491,University of the Philippines Diliman
57205415158,Oca G.M.,60071491,University of the Philippines Diliman
57208082368,Borlongan M.A.B.,60071491,University of the Philippines Diliman
57208346050,Santos J.,60071491,University of the Philippines Diliman
15046291000,Yusiong J.P.T.,60071491,University of the Philippines Diliman
15045386000,Naval P.C.,60071491,University of the Philippines Diliman
57191106800,Damasco J.R.C.G.,60071491,University of the Philippines Diliman
25641202500,Loquias M.J.C.,60071491,University of the Philippines Diliman
55540505500,Manongsong S.M.,60071491,University of the Philippines Diliman
57210956000,Abagat J.L.C.,60071491,University of the Philippines Diliman
35148468800,Pelejo D.C.,60071491,University of the Philippines Diliman
57211057727,Agapito T.D.,60071491,University of the Philippines Diliman
57211134262,Salinasan J.R.,60071491,University of the Philippines Diliman
57211542511,Ordane I.,60071491,University of the Philippines Diliman
36573213900,Adorna H.,60071491,University of the Philippines Diliman
57194016644,Gauran I.I.,60071491,University of the Philippines Diliman
57213185806,Tigas O.J.Q.,60071491,University of the Philippines Diliman
57214123032,Datu J.P.P.,60071491,University of the Philippines Diliman
57216222989,Bautista R.A.,60071491,University of the Philippines Diliman
55487400000,Vallejo L.J.D.,60071491,University of the Philippines Diliman
57216224604,Lamando A.,60071491,University of the Philippines Diliman
49061011100,Clemente J.,60071491,University of the Philippines Diliman
7202124724,Caro J.,60071491,University of the Philippines Diliman
57209557169,De La Cruz R.J.,60071491,University of the Philippines Diliman
57217177801,Ibanez E.J.,60071491,University of the Philippines Diliman
31767602800,Pedrasa M.A.,60071491,University of the Philippines Diliman
57218763086,De La Cruz J.R.,60071491,University of the Philippines Diliman
57216756303,Jamilla C.U.,60071491,University of the Philippines Diliman
57190939059,Mendoza R.G.,60071491,University of the Philippines Diliman
57213268816,Mendoza V.M.P.,60071491,University of the Philippines Diliman
57189051816,Hernandez B.S.,60071491,University of the Philippines Diliman
57201056658,Galvez L.E.,60071491,University of the Philippines Diliman
7102250490,Jing Z.,,
24364843400,Schultze B.,,
15842077200,Paluga E.M.,,
35377710500,Wada H.,,
36829708100,Shinoda K.I.,,
14045079600,Eballe R.G.,,
7004023805,Gaborit P.,,
7006746224,Merino D.I.,,
6505963663,Kahimbaara J.,,
7202680674,Chao K.M.,,
36124579200,Chu A.C.,,
10439175200,Jansson J.,,
14045519400,Mancheron A.,,
55202195800,Cheng S.Y.,,
56344102700,Gonzalez E.A.,,
57197434034,North D.,,
7006605079,Quaranta V.,,
56698091000,Racca A.P.,,
56717704200,Indangan R.A.,,
55508914200,Bacani D.B.,,
7103195168,Tahara H.,,
57011511200,Suzuki T.,,
57035301500,Belleza K.E.,,
57035477900,Loquias C.M.,,
56165819800,Beltran M.I.,,
55921877500,Ciliberto C.,,
56159982000,Tanaka K.,,
7102406519,Takada N.,,
57188988638,Galindo S.M.A.,,
7004712804,Akiyama J.,,
57189645287,Alcaraz F.,,
57213257600,Hogerzeil H.H.W.,,
7006619333,Maehara H.,,
6505961513,Scheicher K.,,
55470982200,Jain A.,,
56357895700,Ganesan M.,,
57191961513,Platil L.C.,,
57193685499,Delima E.M.,,
57217152389,Dagdag S.M.O.,,
57133177400,Paspasan M.N.S.,,
6603036646,Bernido C.C.,,
7801532882,Carpio-Bernido M.V.,,
57201324967,Barroga K.,,
57204771766,Porras E.,,
57198792998,Medina R.,,
57197759704,Zhao Y.,,
57203237130,Mamon R.,,
57203065141,Simon J.S.,,
6506084822,von Davier M.,,
55667918900,Capco J.,,
57192820526,Aiyappan S.,,
6506400880,Nandakumaran A.K.,,
56451967500,Luo Y.C.,,
57094123600,Jatulan E.O.,,
7201607780,Law C.K.,,
57211979967,Macalalag J.M.R.,,
57203260202,Ponomarenko V.,,
57216268318,Zhao Y.,,
57216611429,Balingit C.M.R.,,
57216610641,Gamorez A.E.,,
57216997030,Li C.K.,,
6603706426,Jofre A.,,
57219241386,Reyes E.,,
57190938926,Egarguin N.J.A.,,
32867951400,Onofrei D.,,
57204666997,Qi C.,,
34970813000,Chen J.,,
57219950438,Agua B.M.G.,,
57188977107,Paluga R.N.,,
56423660600,Faina L.K.M.,60071493,University of the Philippines Visayas
16417793700,Sison V.,60071494,University of the Philippines Los Banos
6602086805,Loyola J.O.,60071494,University of the Philippines Los Banos
56073381200,Fontanil L.L.,60071494,University of the Philippines Los Banos
56073714300,Panopio R.G.,60071494,University of the Philippines Los Banos
56386190800,Mamplata J.B.,60071494,University of the Philippines Los Banos
56385148400,Lo R.A.J.R.,60071494,University of the Philippines Los Banos
56385081300,Reyes M.A.E.,60071494,University of the Philippines Los Banos
55970270000,Garces I.J.L.,60071457,Ateneo de Manila University
8671261400,Ruiz M.J.P.,60071457,Ateneo de Manila University
57203965046,Bautista E.P.,60071457,Ateneo de Manila University
8394970200,Juanico D.E.,60071457,Ateneo de Manila University
55744697700,Nebres Fr.B.,60071457,Ateneo de Manila University
6603357704,Pascasio A.A.,60071464,De La Salle University-Manila
6507464296,Raposa B.P.,60071464,De La Salle University-Manila
23571165800,Lim Y.F.,60071464,De La Salle University-Manila
35093174300,Ruivivar L.A.,60071464,De La Salle University-Manila
26421030500,Ap-Apid R.,60071464,De La Salle University-Manila
55791138000,Dris J.A.B.,60071464,De La Salle University-Manila
54380537300,Nviiri H.,100607487,Uganda Bureau of Statistics
7005893920,Praeger C.E.,60031806,The University of Western Australia
57213545546,Binongo J.N.G.,102005040,Atenco de Manila University
7401493570,Lopez C.,60105211,"Edith Cowan University, Mount Lawley"
57215514871,Mueller U.A.,60105211,"Edith Cowan University, Mount Lawley"
54892094700,Gaquing N.,112105496,Caraga State University
54379771500,Castro L.,112416727,National Statistical Coordination Board
54379910600,Domingo E.,112416727,National Statistical Coordination Board
25937260500,Hui S.K.,113140143,Sidho-Kanho-Birsha University
56242671300,Baldado M.P.,113227614,Negros Oriental State University
56372950100,Sandueta E.,114674288,Andres Bonifacio College
56404653400,Langam R.T.,114952835,Saint Michael's College
6506450902,Abou-Zahr C.,60027142,Organisation Mondiale de la Santé
7005965266,Boerma T.,60027142,Organisation Mondiale de la Santé
56437989800,Bacolod M.M.,123274057,Central Philippines State University
6603375571,Revesz S.Gy.,60027811,Magyar Tudomanyos Akademia
55935277100,Kim J.L.,60020633,University of Louisville
37862581200,Walker J.L.,60026306,University of Nebraska–Lincoln
55934875900,Sole P.,60008134,CNRS Centre National de la Recherche Scientifique
6508000612,Muraz G.L.,60022173,Institut Fourier
16441913200,Osterwalder K.,60025858,ETH Zürich
